id,title,subtitle,status
panda,PANDA-ROID,信仰熱きパンダロイド,PUBLISHED
cat,CAT-ROID,おしゃれ大好きハイソなキャットロイド,PUBLISHED
hipo,HIPO-ROID,節約家ヒッポロイド,PUBLISHED
dog,DOG-ROID,運動能力機能の高いドッグロイド,PUBLISHED
koala,KOALA-ROID,知恵深きコアラロイド,PUBLISHED
penguin,PENGUIN,オーロラパワーでたくましいペンギンロイド,PUBLISHED
bear,BEAR-ROID,穏便かつ力強いベアーロイド,PUBLISHED
rw,RW-ROID,知識と知恵のデータベースで的確に判断RWロイド,PUBLISHED
tanuki,TANUKI-ROID,回復パワーでリフレッシュタヌキロイド,PUBLISHED
dark,DARKGUARD-ROID,集中力の強い忠実な精神ダークガードロイド,PUBLISHED
companion,COMPANION-ROID,美の魔術師コンパニオンロイド,PUBLISHED
other,OTHER-ROID,多様な種類のロイド辺境の地から出稼ぎアザーロイド,PUBLISHED